id,created_at,user_id,longitude,latitude
1,2015-03-13,12,-121.433762,38.459187
2,2015-02-14,8,-122.267822,37.819721
3,2015-02-10,16,-122.468513,37.686073
4,2015-02-15,18,-122.457771,37.771027
5,2015-02-15,7,-118.278625,34.087151
6,2015-02-10,9,-122.319923,47.514759
7,2015-02-10,7,-121.461899,38.659222
8,2015-02-20,6,-118.183365,34.048973
9,2015-02-21,9,-118.300125,34.055679
10,2015-02-11,17,-122.01944,37.982349
11,2015-02-27,4,-122.412003,37.799496
12,2015-02-16,1,-122.297981,37.975723
13,2015-02-17,5,-121.820885,37.300518
14,2015-03-02,18,-122.37677,37.825623
15,2015-02-21,15,-122.430489,37.718227
16,2015-02-17,16,-122.433174,37.781521
17,2015-03-09,2,-118.485344,34.004456
18,2015-03-12,2,-122.403351,37.770645
19,2015-03-03,5,-118.326874,33.984661
20,2015-02-22,5,-122.373825,37.802044
21,2015-02-18,3,-118.292091,34.100086
22,2015-02-10,20,-118.304321,33.740452
23,2015-02-11,9,-122.203918,37.777344
24,2015-03-03,15,-122.197304,47.666801
25,2015-02-21,9,-118.444252,34.062428
26,2015-02-14,18,-117.681831,34.064411
27,2015-02-21,5,-122.398827,37.777168
28,2015-02-21,3,-118.297249,33.793232
29,2015-02-28,20,-122.070023,37.693375
30,2015-02-24,2,-118.300056,34.174496
31,2015-01-28,14,-122.462296,37.780701
32,2015-03-05,8,-122.423111,37.786949
33,2015-02-22,5,-121.985428,37.403687
34,2015-02-28,18,-122.274811,37.812359
35,2015-02-25,19,-118.223717,34.03289
36,2015-02-11,10,-122.335114,37.5746
37,2015-03-16,7,-122.440765,37.788418
38,2015-03-02,10,-121.89698,37.702747
39,2015-03-01,13,-122.491005,37.759136
40,2015-03-16,10,-118.327179,34.006748
41,2015-02-17,11,-122.103065,37.651749
42,2015-02-14,5,-118.399948,33.945484
43,2015-02-13,6,-122.283234,37.826786
44,2015-02-13,12,-122.411278,37.667114
45,2015-02-11,19,-122.46566,37.693275
46,2015-02-24,16,-118.38501,33.959579
47,2015-03-07,19,-122.501221,37.752541
48,2015-03-03,17,-122.411766,37.798271
49,2015-03-07,13,-121.853737,37.313957
50,2015-02-16,3,-122.075554,37.659214
51,2015-02-26,17,-122.252129,47.055058
52,2015-02-16,8,-118.341484,34.097946
53,2015-02-17,8,-118.388145,34.081997
54,2015-02-15,15,-122.506065,37.764072
